                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                  0.693,                0.77053,                 1.1489,                0.88565,                0.95367,                0.94301,                0.78424,                 0.6582,                0.64029,                 1.1202,             0.00037118,             0.00037118,             0.00037118
                     58,                0.69241,                0.77034,                  1.151,                 0.8727,                0.96324,                0.94451,                0.80086,                0.61765,                0.61719,                 1.0782,             0.00036294,             0.00036294,             0.00036294
                     59,                0.70949,                0.80407,                 1.1888,                0.87552,                0.95018,                0.94506,                0.79423,                0.62982,                0.62582,                 1.0902,             0.00035469,             0.00035469,             0.00035469
                     60,                0.68543,                0.78197,                 1.1624,                0.89625,                0.94327,                0.94454,                0.80061,                0.61494,                0.61256,                   1.07,             0.00034644,             0.00034644,             0.00034644
                     61,                0.66191,                 0.7617,                 1.1472,                0.89349,                0.95973,                0.94797,                0.81368,                0.59218,                 0.6013,                 1.0552,              0.0003382,              0.0003382,              0.0003382
                     62,                0.68304,                0.77015,                 1.1527,                0.87007,                0.93389,                0.94348,                0.81177,                0.57666,                 0.5888,                  1.045,             0.00032995,             0.00032995,             0.00032995
                     63,                0.68673,                0.76703,                 1.1492,                0.86556,                 0.9275,                0.94496,                0.81954,                0.57273,                0.60676,                  1.036,              0.0003217,              0.0003217,              0.0003217
                     64,                0.67949,                 0.7368,                 1.1471,                0.89035,                0.95373,                0.94111,                0.81218,                0.59732,                0.60789,                 1.0688,             0.00031346,             0.00031346,             0.00031346
                     65,                0.62548,                0.69045,                  1.108,                 0.8802,                0.96749,                0.94651,                0.82397,                0.57369,                0.58864,                 1.0464,             0.00030521,             0.00030521,             0.00030521
                     66,                0.63969,                0.70022,                 1.1229,                0.88072,                0.95009,                0.94665,                 0.8213,                0.55443,                 0.5897,                 1.0294,             0.00029696,             0.00029696,             0.00029696
                     67,                0.66441,                0.72801,                 1.1408,                0.86441,                0.95434,                0.94842,                 0.8207,                0.55458,                0.59078,                 1.0302,             0.00028872,             0.00028872,             0.00028872
                     68,                0.62438,                0.69665,                 1.1013,                0.89406,                0.95195,                 0.9514,                0.82736,                0.54272,                0.57545,                 1.0204,             0.00028047,             0.00028047,             0.00028047
                     69,                0.65706,                0.71444,                 1.1351,                0.90857,                0.94088,                0.94894,                 0.8309,                0.52418,                0.55654,                 1.0032,             0.00027222,             0.00027222,             0.00027222
                     70,                0.63234,                 0.7011,                 1.1228,                0.90575,                0.94282,                0.94966,                 0.8252,                0.52923,                0.56862,                 1.0154,             0.00026398,             0.00026398,             0.00026398
                     71,                0.62155,                0.69023,                  1.103,                 0.8995,                0.94906,                0.94935,                0.83009,                0.52463,                0.54694,                 1.0061,             0.00025573,             0.00025573,             0.00025573
                     72,                0.62329,                0.68623,                 1.1147,                0.90863,                0.93239,                0.95312,                0.83514,                0.52287,                0.52093,                0.99746,             0.00024748,             0.00024748,             0.00024748
                     73,                0.60527,                  0.665,                 1.1046,                0.88917,                0.95129,                0.94792,                0.83352,                0.51296,                0.50972,                0.98876,             0.00023924,             0.00023924,             0.00023924
                     74,                  0.605,                0.68646,                 1.0827,                0.88241,                0.96796,                 0.9503,                 0.8413,                0.51171,                0.51647,                0.98381,             0.00023099,             0.00023099,             0.00023099
                     75,                0.60967,                0.63486,                 1.1015,                0.91018,                0.94859,                0.95124,                0.84816,                0.49886,                0.51356,                0.97598,             0.00022274,             0.00022274,             0.00022274
                     76,                 0.6568,                0.71227,                 1.1347,                0.89359,                0.96763,                0.95281,                0.84909,                0.50421,                0.51339,                0.98617,              0.0002145,              0.0002145,              0.0002145
                     77,                 0.5987,                0.63571,                 1.1168,                  0.897,                0.96282,                0.95099,                0.84167,                0.52668,                0.51227,                0.99864,             0.00020625,             0.00020625,             0.00020625
                     78,                0.64636,                0.68287,                 1.1148,                0.87083,                0.97361,                 0.9494,                0.84631,                0.48418,                0.49956,                0.96946,               0.000198,               0.000198,               0.000198
                     79,                0.63007,                0.67642,                 1.1134,                0.86181,                0.97805,                0.94998,                0.84412,                  0.488,                0.49694,                0.96783,             0.00018976,             0.00018976,             0.00018976
                     80,                0.57508,                0.66037,                 1.0817,                0.88672,                0.97636,                0.95187,                0.84313,                0.49116,                0.49694,                0.96786,             0.00018151,             0.00018151,             0.00018151
                     81,                0.57247,                0.63094,                 1.0758,                0.89961,                0.96996,                0.95001,                0.84661,                0.48308,                0.49256,                0.96283,             0.00017326,             0.00017326,             0.00017326
                     82,                0.62156,                0.67265,                 1.0938,                0.90169,                0.97101,                0.95294,                0.85975,                0.46321,                0.48524,                0.94905,             0.00016502,             0.00016502,             0.00016502
                     83,                0.57609,                0.63322,                 1.0886,                0.90748,                0.95836,                0.95229,                 0.8629,                0.45503,                 0.4842,                0.94417,             0.00015677,             0.00015677,             0.00015677
                     84,                0.56789,                0.62491,                 1.0674,                0.91045,                0.96931,                0.95316,                 0.8638,                0.46098,                0.48496,                0.94769,             0.00014852,             0.00014852,             0.00014852
                     85,                 0.6068,                0.63519,                 1.0969,                0.89482,                0.97527,                0.95345,                0.86655,                 0.4579,                 0.4845,                0.94748,             0.00014028,             0.00014028,             0.00014028
